Column 1,Column 2
ISCAT /PARIS,CONGRÈS - SYMPOSIUM
ISCAT Paris 24 - 26 septembre 2012,CONGRÈS - SYMPOSIUM
"ISCAT Paris, 24  26 septembre 2012",CONGRÈS - SYMPOSIUM
"ISCAT Paris, 24 - 26 septembre 2012",CONGRÈS - SYMPOSIUM
ISET 2013,CONGRÈS - SYMPOSIUM
ISFRI ZURICH,CONGRÈS - SYMPOSIUM
ISMRM 21 st Annual Meeting et Exhibition USA,CONGRÈS - SYMPOSIUM
ISPPD,CONGRÈS - SYMPOSIUM
IST interprétations des résultats deprélevements vaginaux commentetquandtraiter?,CONGRÈS - SYMPOSIUM
"IST,interprétations des résultats deprélevements vaginaux,commentetquandtraiter?",CONGRÈS - SYMPOSIUM
IUGA DUBLIN,CONGRÈS - SYMPOSIUM
IV Reunion del Unigroup,CONGRÈS - SYMPOSIUM
Imagerie Osteo-Articulaire,CONGRÈS - SYMPOSIUM
Imagerie médicale,CONGRÈS - SYMPOSIUM
Imagerie médicale en gynécologie,CONGRÈS - SYMPOSIUM
Immersiion Program & SVS / Santa Rosa & San Francisco,CONGRÈS - SYMPOSIUM
Infectious Diseases Forum,CONGRÈS - SYMPOSIUM
Influence de l'âge sur les aspects de la colposcopie et discussion de cas cliniq,CONGRÈS - SYMPOSIUM
Inscription Congrès,CONGRÈS - SYMPOSIUM
Inscription congrès,CONGRÈS - SYMPOSIUM
Interaction Meeting Epaule - Nice,CONGRÈS - SYMPOSIUM
Interaction Meeting Hanche et Genou - Nice,CONGRÈS - SYMPOSIUM
International Scientific Conference Vacuum Therapy of Wounds in Children and Adults Moscou les 16 et 17 avril 2013,CONGRÈS - SYMPOSIUM
Internes Rhône-Alpes Auvergne - St Etienne,CONGRÈS - SYMPOSIUM
Intervention EPU du 19/06 à Toulon (avec Ch. Botuha - PCC),FORMATION
Intervention Orateur/Modérateur,ORATEUR/FORMATEUR
Intervention Symposium,ORATEUR/FORMATEUR
Intervention lors d'une conférence dont le thème est Comment par une communication verbale et non verbale adaptée diminuer le stress des patients hospitalisés ?,ORATEUR/FORMATEUR
Intervention lors du Symposium Pré-Hopipharm sur le thème du SIDA,ORATEUR/FORMATEUR
Intervention orale au Centre Oscar Lambret de Lille,ORATEUR/FORMATEUR
Intervention orale cadre atelier d'Imagerie,ORATEUR/FORMATEUR
Intervention orale à Nîmes:Hypersensibilité Produits de contraste,ORATEUR/FORMATEUR
Intervention orale à l'Hôpital de St Malo,ORATEUR/FORMATEUR
"Intervention scientifique, modération et participation au dîner débat : Partage d'expérience autour de cas cliniques dans le syndrome coronaire aigu",ORATEUR/FORMATEUR
"Intervention scientifique, modération et participation à la réunion médicale d'experts : Quelle place pour Agrastat dans le traitement du SCA ?",ORATEUR/FORMATEUR
Intervention-seminaire-vente,ORATEUR/FORMATEUR
Investigateur,COLLABORATION SCIENTIFIQUE
Investigation/Coordination et autres prestations (Etudes cliniques et Etudes non interventionnelles),CONTRAT DE CONSULTANT
Invit - Participant - Runion DPA Adapte,CONGRÈS - SYMPOSIUM
Invit - Participant - Runion Dialyse Pritonale,CONGRÈS - SYMPOSIUM
Invitation,CONGRÈS - SYMPOSIUM
Invitation Congrès,CONGRÈS - SYMPOSIUM
Invitation Manifestation,CONGRÈS - SYMPOSIUM
Invitation stand EFORT Berlin,CONGRÈS - SYMPOSIUM
Invitation stand SOFCOT Paris,CONGRÈS - SYMPOSIUM
Invitation une manifestation - Runion rgionale Cabourg,CONGRÈS - SYMPOSIUM
Invitation à une manifestation,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - 1er REUNION IDES REGION CENTRE,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - 1er REUNION INFIRMIERES REGION CENTRE,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - ABORDS VASCULAIRES,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - CORDIAX,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - ETHIQUE ET NEPHROLOGIE,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - GLOBE TROTTER BVM,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - HDF,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - HEMODIAFILTRATION ET TECHNIQUES INNOVANTES,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - JOURNEE DE L'EAU NANCY,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - POST ASN,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - REUNION REGIONALE ILE DE LA REUNION,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - Réunion régionale Cabourg,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - SdT 5008,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - VISITE D'USINE SAINT WENDEL,CONGRÈS - SYMPOSIUM
Invitation à une manifestation - VISITE D'USINE ST WENDEL,VISITE
Invitation à une manifestation à caractEre professionnel et scientifique,CONGRÈS - SYMPOSIUM
Invitation à une manifestation à caractère professionnel et scientifique,CONGRÈS - SYMPOSIUM
Invition déjeuner suite rdv,HOSPITALITÉ
Invité - Orateur - Réunion Régionale de DP Centre - Est,ORATEUR/FORMATEUR
Invité - Participant   - 2ème Rencontre Drôme Ardèche,CONGRÈS - SYMPOSIUM
Invité - Participant   - 4ème Réunion du Paris DP CLUB,CONGRÈS - SYMPOSIUM
Invité - Participant   - Formation DP Equipe IDE CH du Nord,CONGRÈS - SYMPOSIUM
Invité - Participant   - Journées IDE de Dialyse Péritonéale,CONGRÈS - SYMPOSIUM
Invité - Participant   - REUNION DE DP FMC/AMGEN,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion DPA Adaptée,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion Dialyse Péritonéale,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion Investigateurs Etude PD One,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion Régionale Dialyse Péritonéale,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion Régionale Languedoc-Roussillon,CONGRÈS - SYMPOSIUM
Invité - Participant   - Réunion Régionale Rhône - Alpes,CONGRÈS - SYMPOSIUM
Invité - Participant   - Visite FMC Bad Homburg + Site de ST Wendel,VISITE
Invité - Participant   - Visite Sites de ST WENDEL  et  SCHWEINFURT,VISITE
Invité - Participant   - Visite site ST WENDEL,VISITE
Invité - Participant - 4ème Réunion du Paris DP CLUB,CONGRÈS - SYMPOSIUM
Invité - Participant - Formation DP Equipe IDE CH du Nord,FORMATION
Invité - Participant - Formation Dialyse Péritonéale,FORMATION
Invité - Participant - Formation à la Dialyse Péritonéale,FORMATION
Invité - Participant - REUNION DE DP FMC/AMGEN,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion DPA Adaptée,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Dialyse Péritonéale,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Groupe Projet DPA Adaptée,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Investigateurs Etude PD One,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Régionale Dialyse Péritonéale,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Régionale Languedoc-Roussillon,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion Régionale de DP Centre - Est,CONGRÈS - SYMPOSIUM
Invité - Participant - Réunion du Comité Scientifique Projet Protocole Etude BICAVERA,CONGRÈS - SYMPOSIUM
Invité - Participant - Visite FMC Bad Homburg + Site de ST Wendel,CONGRÈS - SYMPOSIUM
Invité - Participant - Visite Sites de ST WENDEL,CONGRÈS - SYMPOSIUM
Invité - orateur - REUNION DE DP FMC/AMGEN,ORATEUR/FORMATEUR
J. CHIRURGIE DIG. DE BEAUJON,CONGRÈS - SYMPOSIUM
J. CHIRURGIE DIG. DE BORDEAUX,CONGRÈS - SYMPOSIUM
JAC BORDEAUX 13 et 14 juin,CONGRÈS - SYMPOSIUM
JCDI 2013 (Journées Cancérologie Digestives Intéractives),CONGRÈS - SYMPOSIUM
JDIP - Dr Imiela PEC,CONGRÈS - SYMPOSIUM
JDIP - Dr Pinault PEC,CONGRÈS - SYMPOSIUM
JDIP - Dr Roux PEC,CONGRÈS - SYMPOSIUM
JDIP 2013,CONGRÈS - SYMPOSIUM
JEC / PARIS,CONGRÈS - SYMPOSIUM
JEC Paris  11  14 janv,CONGRÈS - SYMPOSIUM
JEC Paris - 11 - 14 janv,CONGRÈS - SYMPOSIUM
JFHOD,CONGRÈS - SYMPOSIUM
JFHOD 2013,CONGRÈS - SYMPOSIUM
JFIC,CONGRÈS - SYMPOSIUM
JFICV,CONGRÈS - SYMPOSIUM
JFN SFNEP LYON,CONGRÈS - SYMPOSIUM
JFR2012,CONGRÈS - SYMPOSIUM
JIFRO 2013,CONGRÈS - SYMPOSIUM
JLARGO 2012,CONGRÈS - SYMPOSIUM
JMECHO ET JAGO,CONGRÈS - SYMPOSIUM
JNEPU,CONGRÈS - SYMPOSIUM
JNLF - NICE,CONGRÈS - SYMPOSIUM
JNPD PEC,CONGRÈS - SYMPOSIUM
JNR 2013 - POITIERS,CONGRÈS - SYMPOSIUM
JOA 2013,CONGRÈS - SYMPOSIUM
JOFDF,CONGRÈS - SYMPOSIUM
JOUM,CONGRÈS - SYMPOSIUM
JOUNEE DE PRINTEMPS SIT,CONGRÈS - SYMPOSIUM
JOURFORA - HOSPITALITE,HOSPITALITÉ
JOURNEE DE FORMATION SBT & STERRAD,FORMATION
JOURNEE ECHANGES & MUTUALISATION,CONGRÈS - SYMPOSIUM
JOURNEE FORMATION CFD,FORMATION
JOURNEE FRANCO TUNISIENNE,CONGRÈS - SYMPOSIUM
JOURNEE ORTHOPEDIE FORT DE France,CONGRÈS - SYMPOSIUM
JOURNEE THEMATIQUE DOULEUR CONGRES,CONGRÈS - SYMPOSIUM
JOURNEES D'AUTOMNE / PARIS,CONGRÈS - SYMPOSIUM
JOURNEES FRANCO TUNISIENNES DE DIALYSE,CONGRÈS - SYMPOSIUM
JOURNEES NECKER,CONGRÈS - SYMPOSIUM
"JOURNÉE DE FORMATION/INFORMATION, EPU GROUPE COURLANCY",FORMATION
JOURNÉES DE L’AJD,CONGRÈS - SYMPOSIUM
JOURNÉES PARAMÉDICAL : SFD PARAMÉDICAL CONGRÈS SFD MONTPELLIER,CONGRÈS - SYMPOSIUM
JOURVASC - HOSPITALITE,HOSPITALITÉ
JO_FDF_SAINT MARTIN_2013,CONGRÈS - SYMPOSIUM
JREP - JOURNÉES RÉGIONALES D'ETUDES ET DE PERFECTIONNEMENT,CONGRÈS - SYMPOSIUM
JRO 2012,CONGRÈS - SYMPOSIUM
JVA,CONGRÈS - SYMPOSIUM
JVA - HOSPITALITE,HOSPITALITÉ
JVA La Rochelle,CONGRÈS - SYMPOSIUM
Journe DMLA 2013,CONGRÈS - SYMPOSIUM
Journe-des-Biomarqueurs,CONGRÈS - SYMPOSIUM
Journée Cyphoplastie - Boulogne,CONGRÈS - SYMPOSIUM
Journée DMLA 2013,CONGRÈS - SYMPOSIUM
Journée Midi Pyrénéenne Cicatrisation  Toulouse 5 avril,CONGRÈS - SYMPOSIUM
Journée Nationale Multidisciplinaire sur le SAOS de l'enfant CONGRES,CONGRÈS - SYMPOSIUM
Journée Nationales de Rhumatologie CONGRES,CONGRÈS - SYMPOSIUM
Journée Opératoire Arthroscopies Epaule avec le Pr Boileau jeudi 23 mai 2013 Hôpital l'Archet II Nice,CONGRÈS - SYMPOSIUM
Journée Opératoire Genou avec Dr Bocquet,CONGRÈS - SYMPOSIUM
Journée annuelle du Collège de Gynécologie de Bordeaux et du Sud-Ouest,CONGRÈS - SYMPOSIUM
Journée d'information sur la stomathérapie,CONGRÈS - SYMPOSIUM
Journée de formation Dr Philippe Cartier le 16/04/13,FORMATION
Journée des Jeunes Arthroscopistes,CONGRÈS - SYMPOSIUM
Journée diagnostic prénatal_Dr Harlé,CONGRÈS - SYMPOSIUM
Journée du GEMO (Montpellier - 14 Juin 2013),CONGRÈS - SYMPOSIUM
Journée infirmière du congrès SIFUD PP,CONGRÈS - SYMPOSIUM
Journée opératoire sur le DT4,CONGRÈS - SYMPOSIUM
Journée opératoire sur les arthroscopies d'épaule avec Dr Potaux,CONGRÈS - SYMPOSIUM
Journée opératoire sur les arthroscopies de hanche avec le Dr May,CONGRÈS - SYMPOSIUM
Journée opératoire sur les arthroscopies de hanche avec le Dr May le 26/10/12,CONGRÈS - SYMPOSIUM
Journée opératoire sur les arthroscopies de hanche avec le Dr Nogier,CONGRÈS - SYMPOSIUM
Journée opératoire sur les arthroscopies de hanche avec le Dr Nogier 20/02/13,CONGRÈS - SYMPOSIUM
Journées Annuelles de la Société Française de Mastologie et d'Imagerie du Sein,CONGRÈS - SYMPOSIUM
Journées Armoricaines Plaies et Cicatrisation,CONGRÈS - SYMPOSIUM
Journées EPUNG - Génétique et gynécologie,FORMATION
Journées Françaises de Radiologie 19-23 octobre 2012,CONGRÈS - SYMPOSIUM
Journées Ftales Toulouse,CONGRÈS - SYMPOSIUM
Journées IGR,CONGRÈS - SYMPOSIUM
Journées Lyonnaises de la Hanche,CONGRÈS - SYMPOSIUM
Journées Nationales de Rhumatologie CONGRES,CONGRÈS - SYMPOSIUM
Journées Régionales Cardio-vasculaires,CONGRÈS - SYMPOSIUM
Journées d'Automne 13-15 déc 2012,CONGRÈS - SYMPOSIUM
Journées d'Imagerie de la Pitié Salpétrière,CONGRÈS - SYMPOSIUM
Journées d'échographie P. GILG,CONGRÈS - SYMPOSIUM
Journées d'études des IDEs stomathérpeutes francophone,CONGRÈS - SYMPOSIUM
Journées dEtudes Bordeaux,CONGRÈS - SYMPOSIUM
Journées de Médecine Ftale MORZINE,CONGRÈS - SYMPOSIUM
Journées de Printemps de l'AFCP,CONGRÈS - SYMPOSIUM
Journées de Radiologie Pédiatrique HOPITAL TROUSSEAU,CONGRÈS - SYMPOSIUM
Journées de printemps de l'ACPO,CONGRÈS - SYMPOSIUM
Journées professionnelles de la stomathérapie,CONGRÈS - SYMPOSIUM
Journées radiologique Pédiatrique HOPITAL ROUSSEAU,CONGRÈS - SYMPOSIUM
"KITARO KIT, LES NOUVEAUX OUTILS D'ENTRAINEMENT A LA CHIRURGIE DE LA CATARACTE",CONGRÈS - SYMPOSIUM
L ECOLE DU PIED - PA BEURET,CONGRÈS - SYMPOSIUM
L'Echographie ophtalmologique,CONGRÈS - SYMPOSIUM
L'allergie oculaire,CONGRÈS - SYMPOSIUM
L'importance de l'hygiÞne environnementale dans la prise en charge d'un patient présentant des ulcÞres et soigné Ó domicile,CONGRÈS - SYMPOSIUM
L'évolution dans la contraception orale et risques TEV,CONGRÈS - SYMPOSIUM
LA CONSULTATION DU 8ème MOIS DE GROSSESSE,CONGRÈS - SYMPOSIUM
LA CONTRACEPTION CHEZ LA JEUNE FEMME,CONGRÈS - SYMPOSIUM
LA CONTRACEPTION EN 2012,CONGRÈS - SYMPOSIUM
LA CONTRACEPTION OESTROPROGESTATIVE:QUESTIONS  etREPONSES,CONGRÈS - SYMPOSIUM
LA CONTRACEPTION OESTROPROGESTATIVE:QUESTIONS etREPONSES,CONGRÈS - SYMPOSIUM
LA HANCHE LA CHEVILLE LE PIED,CONGRÈS - SYMPOSIUM
LA SEXOLOGIE : POUR QUOI FAIRE ?,CONGRÈS - SYMPOSIUM
LA TIMONE MARSEILLE,CONGRÈS - SYMPOSIUM
LAA Physician Round Table Amsterdam 24 mars,CONGRÈS - SYMPOSIUM
LAMOR PLAGE,CONGRÈS - SYMPOSIUM
LANCEMENT FUSION / TOLOCHENAZ,CONGRÈS - SYMPOSIUM
LAREDO,CONGRÈS - SYMPOSIUM
LE PONT ST ETIENNE,CONGRÈS - SYMPOSIUM
LEGION Dinner Meeting Florence Italy,HOSPITALITÉ
LES ARCS 2013,CONGRÈS - SYMPOSIUM
LES DIABETIQUES DE TYPE 1 FACE AU RISQUE D HYPOGLYCEMIE - S BADINOT,CONGRÈS - SYMPOSIUM
LES METATARSALGIES RP_DINER,HOSPITALITÉ
LICENCE,CONTRAT DE CESSION
LICENCE DE BREVET,CONTRAT DE CESSION
LOGEMENT,HOSPITALITÉ
LYON CHIRURGIE DU GENOU,CONGRÈS - SYMPOSIUM
La Gynécologie a partir Philips 6/6 RP_DINER,HOSPITALITÉ
La Gériatrie RP_DINER,HOSPITALITÉ
La Maison du Sein,CONGRÈS - SYMPOSIUM
La Polysomnographie: l Embla en pratique FORMATION_PRATIQUE,FORMATION
La Réfraction Subjective - Journée 1,CONGRÈS - SYMPOSIUM
La Réfraction Subjective - Journée 2,CONGRÈS - SYMPOSIUM
La Réfraction Subjective : Journée 1,CONGRÈS - SYMPOSIUM
La Réfraction Subjective : Journée 2,CONGRÈS - SYMPOSIUM
La Ventilation Non Invasive par Masque FORMATION_PRATIQUE,FORMATION
La candidose vulvo-vaginale : Diagnostic Microbiologie et Traitements,CONGRÈS - SYMPOSIUM
"La candidose vulvo-vaginale : Diagnostic, Microbiologie et Traitements",CONGRÈS - SYMPOSIUM
La chirurgie refractive,CONGRÈS - SYMPOSIUM
La cicatrisation,CONGRÈS - SYMPOSIUM
La cicatrisation en milieu humide,CONGRÈS - SYMPOSIUM
La cicatrisation en milieu humide / La place des hydrocellulaires dans la prise en charge des plaies aigues et chroniques,CONGRÈS - SYMPOSIUM
La cicatrisation en milieu humide La place des hydrocellulaires dans la prise en charge des plaies aigues et chroniques,CONGRÈS - SYMPOSIUM
La cicatrisation physiopathologie et thérapeutiques qui se déroulera le jeudi 25 avril 2013 à la Brasserie Le NORD à Lyon.,CONGRÈS - SYMPOSIUM
La cicatrisation: agir plut¶t que subir,CONGRÈS - SYMPOSIUM
La compression veineuse,CONGRÈS - SYMPOSIUM
La consultation plaies et cicatrisation,CONGRÈS - SYMPOSIUM
La contraception en 2012,CONGRÈS - SYMPOSIUM
La contraception orale: nouvelles données en 2012,CONGRÈS - SYMPOSIUM
La contraception à l'oestrogène naturel,CONGRÈS - SYMPOSIUM
La majoration de la consultation infirmiÞre: echanges et bonnes pratiques dans le suivi de la plaie,CONGRÈS - SYMPOSIUM
La plaie chroique vasculaire,CONGRÈS - SYMPOSIUM
La plaie chronique vasculaire,CONGRÈS - SYMPOSIUM
La prise en charge des plaies,CONGRÈS - SYMPOSIUM
La prise en charge des plaies chroniques,CONGRÈS - SYMPOSIUM
La prise en charge des plaies chroniques chez la personne agée,CONGRÈS - SYMPOSIUM
La prise en charge des plaies chroniques chez la personne âgée,CONGRÈS - SYMPOSIUM
La prise en charge du pied diabétique,CONGRÈS - SYMPOSIUM
La prise en charge du pied diabétique: un travail d'équipe,CONGRÈS - SYMPOSIUM
Lancement Valve Portico - Toulouse - 26 Nov 2012,CONGRÈS - SYMPOSIUM
Launch Meeting 2013,CONGRÈS - SYMPOSIUM
Le Club des Jeunes Chirurgiens Cardiaques,CONGRÈS - SYMPOSIUM
Le Consultant,CONTRAT DE CONSULTANT
Le D.E.S. de Gynéco Obstétrique,CONGRÈS - SYMPOSIUM
Le DPC(développement personnel continue) : Obligation/modalité,CONGRÈS - SYMPOSIUM
Le Pied Diabétique,CONGRÈS - SYMPOSIUM
Le Triangle de Jeunesse,CONGRÈS - SYMPOSIUM
Le calcium dans la peau,CONGRÈS - SYMPOSIUM
Le choix de l'oestradiol naturel,CONGRÈS - SYMPOSIUM
Le choix des Armes,CONGRÈS - SYMPOSIUM
"Le conseil de l'ordre des IDEs, mise à jour",CONGRÈS - SYMPOSIUM
Le kyste sacro-coccigien,CONGRÈS - SYMPOSIUM
Le pansement : Comment choisir prescrire faire poser et quoter ?,CONGRÈS - SYMPOSIUM
"Le pansement : Comment choisir, prescrire, faire, poser et quoter ?",CONGRÈS - SYMPOSIUM
Le patient diabétique et la prise en charge des plaies pour une cicatrisation optimale,CONGRÈS - SYMPOSIUM
Le premier choix en instauration d'une contraception oestroprogestative,CONGRÈS - SYMPOSIUM
"Le retard de cicatrisation , pourquoi ?",CONGRÈS - SYMPOSIUM
Leiden - ONS Course 2012,CONGRÈS - SYMPOSIUM
Leiden Mars 2012,CONGRÈS - SYMPOSIUM
Leiden Nov 2012,CONGRÈS - SYMPOSIUM
Leizpig (Allemagne),CONGRÈS - SYMPOSIUM
Les Cercles MAES  Place et futurs de lEsthétique Médicale,CONGRÈS - SYMPOSIUM
Les Collégiales de Convatec,CONGRÈS - SYMPOSIUM
Les MST et IST,CONGRÈS - SYMPOSIUM
"Les Plaies, objectif : La Cicatrisation",CONGRÈS - SYMPOSIUM
Les Rencontres Lyonnaises-2012,CONGRÈS - SYMPOSIUM
Les Ulcères de Jambes,CONGRÈS - SYMPOSIUM
Les avancees en matiere de cicatrisation EPU_FMC,FORMATION
Les bonnes pratiques de la prise en charge des plaies exsudatives,CONGRÈS - SYMPOSIUM
Les cas pas si simples en surface oculaire,CONGRÈS - SYMPOSIUM
Les cellules souches humaines-Banque de sang placentaire en Lorraine,CONGRÈS - SYMPOSIUM
Les collégiales de ConvaTec,CONGRÈS - SYMPOSIUM
Les dernières actualités du domaine IDE,CONGRÈS - SYMPOSIUM
Les dernières avancées en CONTRACEPTION,CONGRÈS - SYMPOSIUM
Les douleurs en rhumatologie : conséquences ou origines pyschologiques RP_DINER,HOSPITALITÉ
Les exsudats : Amis ou Ennemis de la plaie / Comment passer de la subjectivité à l’objectivité de l’évaluation,CONGRÈS - SYMPOSIUM
Les exsudats : Amis ou Ennemis de la plaie / Le Développement Professionnel Continu,CONGRÈS - SYMPOSIUM
Les exsudats : Amis ou ennemis de la plaie ?,CONGRÈS - SYMPOSIUM
Les fondamentaux des plaies artéritiques chez le patient diabétique,CONGRÈS - SYMPOSIUM
Les fondamentaux en cicatrisation,CONGRÈS - SYMPOSIUM
Les lichens sclero-atrophiques de la vulve (2ème partie),CONGRÈS - SYMPOSIUM
Les nouveautés en cicatrisation,CONGRÈS - SYMPOSIUM
Les nouveaux textes de loi,CONGRÈS - SYMPOSIUM
Les nouvelles donnes dans la prvention de la DMLA,CONGRÈS - SYMPOSIUM
Les nouvelles données dans la prévention de la DMLA,CONGRÈS - SYMPOSIUM
Les nouvelles recommandations de prises en charge des cancers pelviens,CONGRÈS - SYMPOSIUM
Les plaies : Quels protocoles & quels soins à domicile,CONGRÈS - SYMPOSIUM
Les plaies cavitaires et leurs prises en charge pour une cicatrisation optimale,CONGRÈS - SYMPOSIUM
Les plaies exsudatives : de l’évaluation à l’utilisation d’ un hydrocellulaire ?,CONGRÈS - SYMPOSIUM
Les plaies variqueuses et la compression,CONGRÈS - SYMPOSIUM
Les plaies: Objectif la cicatrisation,CONGRÈS - SYMPOSIUM
Les ulcères de jambe et leurs traitements,CONGRÈS - SYMPOSIUM
Les ulcères de jambes,CONGRÈS - SYMPOSIUM
Les échographie gynécologiques difficiles,CONGRÈS - SYMPOSIUM
Lettre-Contrat 5th Advcanced Hip Resurfacing Course 13/06/2012-18/06/2013,CONTRAT DE CONSULTANT
Lettre-Contrat Design Meeting Project POLARSYSTEM 13/11/2012-31/12/2012,CONGRÈS - SYMPOSIUM
Lettre-Contrat Leuven Research Forum 24/10/2012-31/12/2012,CONTRAT DE CONSULTANT
Lettre-Contrat VSP Dr Desmoineaux 15/10/2012-15/10/2012,CONTRAT DE CONSULTANT
Liver Meeting 2013,CONGRÈS - SYMPOSIUM
Lunch,HOSPITALITÉ
Lulcère,CONGRÈS - SYMPOSIUM
Législatif: droit de prescription des infirmiÞres libérales et Cicatrisation: prise en charge des plaies,CONGRÈS - SYMPOSIUM
MANIFESTATION - CONFERENCE ECCMID 2012 LONDRES,CONGRÈS - SYMPOSIUM
MANIFESTATION A CARACTERE,CONGRÈS - SYMPOSIUM
MANIFESTATION A CARACTERE PROFESSIONNEL ET SCIENTIFIQUE,CONGRÈS - SYMPOSIUM
MANIFESTATION A CARACTERE SCIENTIFIQUE,CONGRÈS - SYMPOSIUM
MANIFESTATION DE PROMOTION,CONGRÈS - SYMPOSIUM
MANIFESTATION PROFESSIONNELLE ET SCIENTIFIQUE,CONGRÈS - SYMPOSIUM
MANIFESTATION SCIENTIFIQUE ET/OU PROMOTIONNELLE,CONGRÈS - SYMPOSIUM
MANIFESTATION-CONFERENCE DIASORIN TORCH CHINE,CONGRÈS - SYMPOSIUM
MANIFESTATION__PROFESSIONNEL_ET_SCIENTIFIQUE,CONGRÈS - SYMPOSIUM
MASCC BERLIN,CONGRÈS - SYMPOSIUM
MASTER CLASS,CONGRÈS - SYMPOSIUM
MASTER COURSE HYPERTENSION AND KIDNEY,FORMATION
MASTERECHO,FORMATION
MDT LILLE,CONGRÈS - SYMPOSIUM
MDT NANCY,CONGRÈS - SYMPOSIUM
MDT-PRISE EN CHARGE CANCER DU SEIN,CONGRÈS - SYMPOSIUM
MEDECIN,DIVERS
MEET,CONGRÈS - SYMPOSIUM
MEET - HOSPITALITE,HOSPITALITÉ
MEET CONGRESS 2013,CONGRÈS - SYMPOSIUM
MEMBRE COMITÉ SCIENTIFIQUE + ORATEUR - RENCONTRES PSO PRATIQUE,ORATEUR/FORMATEUR
MEMBRE DU COMITE SCIENTIFIQUE PRISME - PRÉSIDENT PRISME - INTERVENANT PRISME PRATIQUE,ORATEUR/FORMATEUR
MEMBRE DU COMITÉ + ORATEUR - RENCONTRES PSO PRATIQUE,ORATEUR/FORMATEUR
MEMBRE DU COMITÉ + ORATEURS - RENCONTRES PSO PRATIQUE,ORATEUR/FORMATEUR
MICRONUTRITION POURQUOI ET A QUELLE DOSE,CONGRÈS - SYMPOSIUM
MICRONUTRITION POURQUOI ET A QUELLE DOSES,CONGRÈS - SYMPOSIUM
MISSION,CONTRAT DE CONSULTANT
MISSION  9th world biomaterials congress du 1er au 5/06 chengdu chine,CONGRÈS - SYMPOSIUM
MISSION  CONCEPTION,CONTRAT DE CONSULTANT
MISSION  COURS TLS KALISTE LA HAVANE DU 23 AU 25/05,CONGRÈS - SYMPOSIUM
MISSION  JO PIED - St Jean de Luz,CONGRÈS - SYMPOSIUM
MISSION  JO PIED ST JEAN DE LUZ 2012,CONGRÈS - SYMPOSIUM
MISSION  JOFDF DU 19 AU 23/03/ 2013,CONGRÈS - SYMPOSIUM
MISSION  Jo chez Pr Weber Afrique du sud du 17 au 18/10,CONGRÈS - SYMPOSIUM
MISSION  USA TOUR FORMATION CHIRS US DU 27/04 AU 16/05,ORATEUR/FORMATEUR
MISSION  live surgey tls pologne du 5 au 7/10,CONGRÈS - SYMPOSIUM
MISSION 24EME CONGRES SPINE SOCIETY OF AUSTRALIA DU 19 AU 21/04,CONGRÈS - SYMPOSIUM
MISSION CONGRES AConceptionS ET MEDECINE DU 20 AU 25/05 CHENGDU CHINE,CONGRÈS - SYMPOSIUM
MISSION COURS CADAVRE DALLAS 13/04/2013,CONGRÈS - SYMPOSIUM
MISSION COURS CADAVRE DALLAS 13/04/2014,CONGRÈS - SYMPOSIUM
MISSION Cours Tenolig New-York 4 au 7/04 New-York,CONGRÈS - SYMPOSIUM
MISSION Cours sur Cadavre New-York 26.1.2013,CONGRÈS - SYMPOSIUM
MISSION DE CONSEIL,CONTRAT DE CONSULTANT
MISSION FHK Asymétrique 19/4 Toulouse,CONGRÈS - SYMPOSIUM
MISSION FORMATION HANCHE DU 12/06 A LA CLINIQUE ST PRIVAT DE BOUJAN SUR LIBRON CHEZ LE DR BRINGER,ORATEUR/FORMATEUR
MISSION FORMATION HANCHE DU 29/05 A LANNEMEZAN CHEZ DR SALTES,ORATEUR/FORMATEUR
MISSION FORMATION PIED DE CHIRURGIENS AUSTRALIENS,ORATEUR/FORMATEUR
MISSION JOFDF DU 25 AU 30 MARS ST MAConceptionIN,CONGRÈS - SYMPOSIUM
MISSION Réunion ESP 5/4 paris,CONGRÈS - SYMPOSIUM
